Auth Num,Longitude,Assigned,Inspected This Fiscal?,Authorization,Auth Type,Sector,Office,Last Inspected,IR Number,CPIX,Section,Primary Reason,Secondary Reason,Warning Follow-Up?,AMP Folllow-Up?,Rank,Workplan INS Qtr,25% Unique 4 yr?,Lat,Long,Last IR: Response,Autonumber,Nearest Municipality,Follow Up Date,Notes,High CPIX,Warning Follow-Up,Last IR - Recommended for Investigation,Last IR - Recommended for Order,Active Order,(Unique) Never Inspected,(Unique) Last Inspected before 2017-04-01,Last IR - Recommended AMP (but none initiated),AMP Final Detm'n Issued,Heavy Industry,Audit,PSP Priority,Authorizations - Name
100003,NA,Unassigned,Not Started,WELLCO OPERATIONS INC. doing business as WELLCO ENERGY SERVICES,Hazardous Waste Regulation,Hazardous Waste Management,Prince George,NA,NA,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,56.230993999999995,-120.7844,NA,1299,Fort St. John,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100003 - WELLCO OPERATIONS INC. doing business as WELLCO ENERGY SERVICES
100025,NA,T. White,Not Started,HAY U RANCH RESORT INC.,Municipal Wastewater Regulation,Municipal Sewage Management,Cranbrook,2017-07-05,58215,Low,NA,Warning Follow-Up,NA,Yes,NA,Priority 4,Q3,NA,49.105700000000006,-116.06530000000001,Warning 120(6),1300,Cranbrook,NA,NA,NA,Warning Follow-Up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100025 - HAY U RANCH RESORT INC.
100026,NA,Unassigned,Not Started,ANDERSON HOLDINGS LTD.,Municipal Wastewater Regulation,Municipal Sewage Management,Nanaimo,2014-01-27,15723,Low,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,49.375,-115.27550000000001,Notice,1301,Cranbrook,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100026 - ANDERSON HOLDINGS LTD.
100028,NA,Unassigned,Not Started,REGIONAL DISTRICT OF NANAIMO,Organic Matter Recycling Regulation,Composting Operations,Nanaimo,NA,NA,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,49.119278,-123.903627,NA,1302,Nanaimo,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100028 - REGIONAL DISTRICT OF NANAIMO
100031,NA,Stewart,Not Started,QUALICUM LANDING DEVELOPMENTS LTD.,Municipal Wastewater Regulation,Municipal Sewage Management,Nanaimo,2013-07-30,9162,Low,Planned,Warning Follow-Up,Unique,Yes,NA,Priority 3,Q1,Yes,49.41833,-124.7008,Warning,1303,Qualicum Beach,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100031 - QUALICUM LANDING DEVELOPMENTS LTD.
100032,NA,Unassigned,Not Started,TERVITA CORPORATION,Municipal Wastewater Regulation,Oil and Natural Gas Industry - Large,Prince George,2015-09-03,21665,Low,NA,Unique,NA,NA,NA,Priority 2,NA,Yes,58.64311,-122.7065,Advisory,1304,Fort Nelson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100032 - TERVITA CORPORATION
100040,-119.38832,Unassigned,Complete,GFL ENVIRONMENTAL INC.,Hazardous Waste Regulation,Hazardous Waste Management,Penticton,1970-01-01,144947,High,NA,NA,NA,No,NA,Priority 4,NA,NA,50.0179779,-119.3883209,Advisory,1305,Kelowna,NA,NA,High CPIX,Warning Follow-Up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100040 - GFL ENVIRONMENTAL INC.
100051,NA,Unassigned,Not Started,QUANTUM MURRAY FACILITIES LP,Hazardous Waste Regulation,Hazardous Waste Management,Nanaimo,2015-08-21,22606,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,48.4834,-123.50200000000001,Advisory,1306,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100051 - QUANTUM MURRAY FACILITIES LP
100059,-118.8709,C. White,Complete,SHUSWAP FALLS R.V. CLUB,Municipal Wastewater Regulation,Municipal Sewage Management,Penticton,1970-01-01,149464,Low,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,50.585409999999996,-118.8709,Advisory,1307,Enderby,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100059 - SHUSWAP FALLS R.V. CLUB
100061,NA,Unassigned,Not Started,COMPASS GROUP CANADA (BEAVER) LTD.,Municipal Wastewater Regulation,Municipal Solid Waste Management,Prince George,NA,NA,Low,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,59.652719999999995,-121.8665,NA,1308,Fort St. John,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100061 - COMPASS GROUP CANADA (BEAVER) LTD.
100067,NA,Unassigned,Not Started,TOWN OF GOLDEN,Organic Matter Recycling Regulation,Composting Operations,Cranbrook,NA,NA,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,51.2933,-116.9777,NA,1309,Golden,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100067 - TOWN OF GOLDEN
100082,NA,Unassigned,Not Started,DEVON CANADA CORPORATION,Municipal Wastewater Regulation,Municipal Solid Waste Management,Prince George,NA,NA,Low,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,59.41122,-122.19340000000001,NA,1310,Fort St. John,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100082 - DEVON CANADA CORPORATION
100093,-123.523,Devos,Complete,FIEDLER BROS. CONTRACTING LTD.,Operational Certificate,Municipal Waste Incineration or Burning Industry,Nanaimo,1970-01-01,147912,Medium,Planned,Unique,Inspected pre-2017,NA,NA,Priority 4,Q1,Yes,49.42326,-123.52300000000001,Advisory,1311,Gibsons,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100093 - FIEDLER BROS. CONTRACTING LTD.
100094,NA,C. White,Not Started,SLR MANAGEMENT LTD.,Municipal Wastewater Regulation,Municipal Sewage Management,Penticton,2012-05-24,2221,Low,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,50.35458,-118.5391,Notice,1312,Vernon,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100094 - SLR MANAGEMENT LTD.
100095,NA,Story,Yes,600835 B.C. LTD.,Municipal Wastewater Regulation,Municipal Sewage Management,Nelson,2020-05-07,149443,Low,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,49.618300000000005,-117.0158,Warning Codes and Regs,1313,Nelson,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100095 - 600835 B.C. LTD.
100096,NA,Unassigned,Not Started,VILLAGE OF VALEMOUNT,Municipal Wastewater Regulation,Municipal Sewage Management,Prince George,2012-09-27,5263,Medium,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,52.8194,-119.259,Notice,1314,Valemount,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100096 - VILLAGE OF VALEMOUNT
100116,NA,Unassigned,Not Started,STRAD OILFIELD RENTALS LTD.,Hazardous Waste Regulation,Hazardous Waste Management,Prince George,NA,NA,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,56.2725,-120.9469,NA,1315,Fort St. John,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100116 - STRAD OILFIELD RENTALS LTD.
100135,NA,Unassigned,Not Started,SUNCOR ENERGY PRODUCTS INC. doing business as SUNCOR ENERGY PRODUCTS PARTNERSHIP,Permit,Petroleum Storage,Surrey,NA,NA,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,54.3192,-130.3183,NA,1316,Prince Rupert,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100135 - SUNCOR ENERGY PRODUCTS INC. doing business as SUNCOR ENERGY PRODUCTS PARTNERSHIP
100138,NA,Unassigned,Not Started,RIO TINTO ALCAN INC.,Permit,"Metal Smelting, Iron and Steel Foundry and Metal Refining Industry",Smithers,2020-02-28,146381,High,NA,Warning Follow-Up,NA,Yes,Yes,Priority 4,NA,NA,54.01557,-128.69911,Warning 120(6),1317,Kitimat,NA,NA,High CPIX,Warning Follow-Up,NA,NA,NA,NA,NA,NA,AMP Issued,NA,NA,NA,100138 - RIO TINTO ALCAN INC.
100140,NA,Unassigned,Not Started,0934110 B.C. LTD.,Municipal Wastewater Regulation,Municipal Sewage Management,Kamloops,2019-05-16,126701,Low,NA,Warning Follow-Up,NA,Yes,NA,Priority 4,NA,NA,50.90244,-119.58840000000001,Warning 120(6),1318,Chase,NA,NA,NA,Warning Follow-Up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100140 - 0934110 B.C. LTD.
100143,NA,Unassigned,Not Started,YEKOOCHE FIRST NATION,Municipal Wastewater Regulation,Municipal Sewage Management,Prince George,2012-10-18,6708,Low,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,54.589079999999996,-125.093,Advisory,1319,Fort St. James,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100143 - YEKOOCHE FIRST NATION
100158,NA,Unassigned,Not Started,WESTWOLD VIEW FARMS,Organic Matter Recycling Regulation,Composting Operations,Kamloops,NA,NA,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,50.481193,-119.75079099999999,NA,1320,Kamloops,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100158 - WESTWOLD VIEW FARMS
100168,NA,Unassigned,Not Started,CARIBOO REGIONAL DISTRICT,Operational Certificate,Municipal Solid Waste Management,Williams Lake,2012-10-11,6122,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,53.0839,-121.6161,Notice,1321,Wells,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100168 - CARIBOO REGIONAL DISTRICT
100173,NA,Unassigned,Not Started,CANADIAN MOUNTAIN HOLIDAYS INC.,Municipal Wastewater Regulation,Municipal Sewage Management,Cranbrook,2019-03-21,120523,Low,NA,Warning Follow-Up,NA,Yes,NA,Priority 4,NA,NA,50.753049999999995,-116.70555,Warning 120(6),1322,Golden,NA,NA,NA,Warning Follow-Up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100173 - CANADIAN MOUNTAIN HOLIDAYS INC.
